"Les Rezéens et le bruit du trafic aérien"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Détails de la soumission"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Séquentiel"|"SID"|"Heure de soumission"|"Heure de complétion"|"Heure de modification"|"Brouillon"|"Adresse IP"|"UID"|"Nom d'utilisateur"|"1/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"2/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, durant la nuit ou lorsque vous souhaitez dormir, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"3/ Êtes-vous... "|"4/ Quelle est votre tranche d'âge ?"|"5/ En ce qui concerne le bruit en général, estimez-vous que par rapport aux personnes de votre entourage, vous êtes..."|"6/ Dans quel quartier habitez-vous ?"|"7/ Êtes-vous situés ""oui"" ou ""non"" dans la zone III du Plan de Gêne Sonore ? "|" Souhaitez-vous nous faire part de vos commentaires sur cette enquête ou plus généralement sur le bruit des avions ?"
"433"|"22297487"|"11/06/2024 - 07:18"|"11/06/2024 - 07:18"|"11/06/2024 - 07:18"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"40-54"|"aussi sensible"|"Autre"|"Non"|"Pendant la saison estival, c’est un balai incessant d’avion qui arrive et qui atterrisse! C’est très dérangeant surtout quand tu veux profiter un minimum de ton jardin!"
"434"|"22297542"|"11/06/2024 - 07:25"|"11/06/2024 - 07:25"|"11/06/2024 - 07:25"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Légèrement"|"une femme"|"25-39"|"un peu plus sensible"|"Ragon"|"Non"|""
"435"|"22297580"|"11/06/2024 - 07:30"|"11/06/2024 - 07:30"|"11/06/2024 - 07:30"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Légèrement"|"une femme"|"25-39"|"aussi sensible"|"Pont-Rousseau"|"Non"|""
"436"|"22297689"|"11/06/2024 - 07:43"|"11/06/2024 - 07:43"|"11/06/2024 - 07:43"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"Ragon"|"Oui"|"L'heure de 23h maximum n'est pas toujours respectée . Et cella fait tard !! 22h serait mieux "
"437"|"22297746"|"11/06/2024 - 07:52"|"11/06/2024 - 07:52"|"11/06/2024 - 07:52"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"40-54"|"aussi sensible"|"Château"|"Non"|"En général le bruit des  avions nous dérange le soir entre 18 heures et 22 heures. L’été lorsque nous sommes sur la terrasse. Nous sommes obligés de nous arrêter de parler le temps qu’ils passent. Sinon je pense également qu’il nous réveille le matin très tôt mais nous ne nous en rendons plus vraiment compte.
La question que je me pose, c’est surtout également la gêne au niveau de la pollution"
"438"|"22297775"|"11/06/2024 - 07:55"|"11/06/2024 - 07:55"|"11/06/2024 - 07:55"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"un homme"|"55-64"|"aussi sensible"|"La Blordière"|"Non"|""
"439"|"22297790"|"11/06/2024 - 07:58"|"11/06/2024 - 07:58"|"11/06/2024 - 07:58"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Bruit au décollage sur la tranche  6h-7h du matin insupportable surtout printemps/ete. Je constate une dérive des trajectoires au fil des années; en effet les trajectoires réelles ne correspondent souvent pas à la réalité du plan de gêne sonore théorique.. (les avions passent au dessus de chez moi et je ne suis sensé pas être concerné mais le plan a la vue de ma situation géographique. il est également important de prendre en compte  les nuisances sonores au décollage souvent plus forte qu’à  l'atterrissage. "
"440"|"22297794"|"11/06/2024 - 07:58"|"11/06/2024 - 07:58"|"11/06/2024 - 07:58"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Rezé-Hôtel de ville"|"Non"|"Bonjour, faire partir les avions plus tard le matin et plus tôt le soir. Merci"
"441"|"22297796"|"11/06/2024 - 07:59"|"11/06/2024 - 07:59"|"11/06/2024 - 07:59"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"Château"|"Non"|""
"442"|"22297861"|"11/06/2024 - 08:04"|"11/06/2024 - 08:04"|"11/06/2024 - 08:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"25-39"|"aussi sensible"|"Château"|"Non"|"Les avions partent par rafale de 3 ou 4 (décollage nous concernant).
Cela peut ruiner un dîner, on ne s’entend plus parler… 

on se demande bien comment on peut vouloir encore augmenter le rythme dans ces conditions."
"443"|"22297870"|"11/06/2024 - 08:05"|"11/06/2024 - 08:05"|"11/06/2024 - 08:05"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"40-54"|"un peu plus sensible"|"Rezé-Hôtel de ville"|"Non"|"Très gênant le soir et le matin"
"444"|"22298074"|"11/06/2024 - 08:21"|"11/06/2024 - 08:21"|"11/06/2024 - 08:21"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"Château"|"Non"|"Lorsqu'il pleut, les avions mettent les gaz car ils ne peuvent pas atterrir ce qui fait beaucoup beaucoup de bruits. "
"445"|"22298119"|"11/06/2024 - 08:23"|"11/06/2024 - 08:23"|"11/06/2024 - 08:23"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"40-54"|"aussi sensible"|"La Blordière"|"Non"|""
"446"|"22298398"|"11/06/2024 - 08:39"|"11/06/2024 - 08:39"|"11/06/2024 - 08:39"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"Je préfère ne pas le dire"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Il y a des périodes dans l'année pendant les quels je les entends plus souvent, "
"447"|"22298549"|"11/06/2024 - 08:47"|"11/06/2024 - 08:47"|"11/06/2024 - 08:47"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"Je préfère ne pas le dire"|"25-39"|"un peu moins sensible"|"Ragon"|"Non"|"Il est urgent de faire quelque chose de réel svp "
"448"|"22298675"|"11/06/2024 - 08:53"|"11/06/2024 - 08:53"|"11/06/2024 - 08:53"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"25-39"|"un peu moins sensible"|"Château"|"Oui"|"Les bruits sont de plus en plus important depuis 1 an
Les  couloirs aériens ont dû être modifié. C'est invivable. Notamment le matin tôt et le soir tard.
"
"449"|"22298781"|"11/06/2024 - 08:57"|"11/06/2024 - 08:57"|"11/06/2024 - 08:57"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"La Houssais"|"Non"|""
"450"|"22298898"|"11/06/2024 - 09:02"|"11/06/2024 - 09:02"|"11/06/2024 - 09:02"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"55-64"|"un peu moins sensible"|"Château"|"Oui"|""
"451"|"22299356"|"11/06/2024 - 09:21"|"11/06/2024 - 09:21"|"11/06/2024 - 09:21"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"un peu plus sensible"|"Trentemoult-les Isles"|"Non"|""
"452"|"22299412"|"11/06/2024 - 09:23"|"11/06/2024 - 09:23"|"11/06/2024 - 09:23"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"Autre"|"Oui"|"J'habite quartier Jaguere. Les avions survolent nos immeubles. La gêne est considérable au printemps été lorsque les vols deviennent plus nombreux. Le plus pénible étant les décollages à partir de 6h toute l'année, qui nous réveillent, même fenêtres fermées. Si le couvre feu pouvait être étendu à 7h, ça serait déjà une belle avancée pour nous. "
"453"|"22299470"|"11/06/2024 - 09:25"|"11/06/2024 - 09:25"|"11/06/2024 - 09:25"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Légèrement"|"une femme"|"40-54"|"un peu moins sensible"|"Pont-Rousseau"|"Non"|"Tous les matins c est le premier avion de 6h20 qui me réveille...sinon je ne les entend quasi jamais, que très légèrement ...
Peu de gene"
"454"|"22299540"|"11/06/2024 - 09:27"|"11/06/2024 - 09:27"|"11/06/2024 - 09:27"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Non"|""
"455"|"22299898"|"11/06/2024 - 09:38"|"11/06/2024 - 09:38"|"11/06/2024 - 09:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"mois de 18 ans"|"aussi sensible"|"La Houssais"|"Non"|""
"456"|"22300006"|"11/06/2024 - 09:42"|"11/06/2024 - 09:42"|"11/06/2024 - 09:42"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"25-39"|"un peu moins sensible"|"La Houssais"|"Non"|""
"457"|"22300619"|"11/06/2024 - 10:01"|"11/06/2024 - 10:01"|"11/06/2024 - 10:01"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"un peu plus sensible"|"La Houssais"|"Non"|""
"458"|"22301133"|"11/06/2024 - 10:18"|"11/06/2024 - 10:18"|"11/06/2024 - 10:18"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"40-54"|"aussi sensible"|"Rezé-Hôtel de ville"|""|""
"459"|"22301249"|"11/06/2024 - 10:21"|"11/06/2024 - 10:21"|"11/06/2024 - 10:21"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"25-39"|"aussi sensible"|"Autre"|"Oui"|"Grosse fréquence d'avril à octobre, toutes les 5 minutes du jeudi au dimanche "
"460"|"22301707"|"11/06/2024 - 10:35"|"11/06/2024 - 10:35"|"11/06/2024 - 10:35"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"55-64"|"un peu plus sensible"|"La Houssais"|"Non"|"Suis située hors zones, limite entre quartiers la houssais , Blordière et Ragon. Mais il y a bien passage des avions au dessus de chez-moi, (donc je les vois et entends). "
"461"|"22302155"|"11/06/2024 - 10:49"|"11/06/2024 - 10:49"|"11/06/2024 - 10:49"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"un homme"|"40-54"|"un peu moins sensible"|"La Blordière"|"Non"|""
"462"|"22302519"|"11/06/2024 - 10:59"|"11/06/2024 - 10:59"|"11/06/2024 - 10:59"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"25-39"|"un peu plus sensible"|"Château"|"Non"|"Nous avons emménagé dans notre maison en 2021, au milieu de la rue du Château de Rezé. Nous ne sommes pas situé dans une zone du PGS ni du PPBE. Pourtant, nous avons été très désagréablement surpris de découvrir que les avions passaient au-dessus de notre jardin, pour certains avec un bruit dépassant les 90 dB, nous empêchant parfois de parler ou de nous entendre lors d'un repas dehors, à une fréquence dépassant ce que nous aurions pu imaginer. Le bruit et le volume de certains avions, de type Airbus A319, sont insupportables. De même, notre fils de 2 ans est réveillé chaque matin à 6h00, par le premier avion. Les suivants l'empêchent de se rendormir (et nous également) Notre sommeil a également été considérablement détérioré par le bruit de traffic aérien, au point que nous pensons à déménager. La crise de l'immobilier n'aurait pas eu lieu, nous serions déjà partis. Pourtant, aucune mesure n'est prise pour empêcher les gros avions de décoller n'importe comment, largement au-delà des zones indiquées dans le PGS et le PPBE. Nous sommes devenus anxieux, voire paranoïaque, la peur qu'un avion décolle  n'importe quand nous hante, et restera au moins tant que nous habiterons dans cette maison.
Je ne comprends pas pourquoi c'est un niveau de bruit moyen (Lden) qui sert à établir les plans d'exposition au bruit et non les valeurs maximales (pics de bruits). le Lden, c'est bien pour le périphérique ou un bruit constant. Mais pas pour les avions. 
Il faudrait : 
- Créer une piste est-ouest qui permette de ne plus survoler l'agglomération nantaise
- interdire aux avions trop gros trop vieux et trop bruyant d'atterrir et décoller à Nantes Atlantique (type A319, A320, Boeing B737 et B738)
- étendre le couvre-feu de 7h00  à 22h00
- limiter le nombre de mouvements annuels (à 40 000 ?)
- interdire les vols intranationaux (nantes-paris, nantes-lyon, nantes marseille, nantes-montpellier, ...)
- taxer taxer taxer le transport aérien de passager, le kérosène pour financer le transport ferroviaire et fluvial) "
"463"|"22302562"|"11/06/2024 - 11:01"|"11/06/2024 - 11:01"|"11/06/2024 - 11:01"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"25-39"|"aussi sensible"|"La Houssais"|"Oui"|"De plus en plus de passage ses une autoroute aérienne  "
"464"|"22303924"|"11/06/2024 - 11:43"|"11/06/2024 - 11:43"|"11/06/2024 - 11:43"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Je suis hors du plan et pourtant il est fréquent que les avions survolent le quartier chêne creux"
"465"|"22303966"|"11/06/2024 - 11:44"|"11/06/2024 - 11:44"|"11/06/2024 - 11:44"|"0"|"0.0.0.0"|"0"|"Anonymous"|""|"Beaucoup"|"un homme"|"plus de 80 ans"|"un peu moins sensible"|"La Houssais"|"Oui"|"Reporter le départ des avions après 7heures, les départs 6h et 6h10 me réveille et écourte mon sommeil "
"466"|"22304261"|"11/06/2024 - 11:53"|"11/06/2024 - 11:53"|"11/06/2024 - 11:53"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"55-64"|"beaucoup plus sensible"|"Autre"|"Non"|""
"467"|"22304820"|"11/06/2024 - 12:11"|"11/06/2024 - 12:11"|"11/06/2024 - 12:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Légèrement"|"un homme"|"25-39"|"un peu plus sensible"|"La Houssais"|"Non"|""
"468"|"22305529"|"11/06/2024 - 12:42"|"11/06/2024 - 12:42"|"11/06/2024 - 12:42"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"40-54"|"beaucoup plus sensible"|"La Houssais"|"Non"|"Gros problème de sommeil depuis je vis à Reze 
Ma fille de 7 ans souffre également de manque de sommeil. On est réveillé tous les week-ends à 6h… "
"469"|"22305581"|"11/06/2024 - 12:45"|"11/06/2024 - 12:45"|"11/06/2024 - 12:45"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"Château"|"Oui"|""
"470"|"22305616"|"11/06/2024 - 12:46"|"11/06/2024 - 12:46"|"11/06/2024 - 12:46"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"un homme"|"40-54"|"un peu moins sensible"|"Pont-Rousseau"|"Non"|""
"471"|"22305759"|"11/06/2024 - 12:53"|"11/06/2024 - 12:53"|"11/06/2024 - 12:53"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"une femme"|"25-39"|"aussi sensible"|"La Houssais"|"Oui"|"Tolérable en journée mais insupportable la nuit. Tous les jours mon bébé se réveille à 6h20 suite au passage du 1er avion..."
"472"|"22305934"|"11/06/2024 - 13:03"|"11/06/2024 - 13:03"|"11/06/2024 - 13:03"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"Château"|"Oui"|""
"473"|"22306097"|"11/06/2024 - 13:12"|"11/06/2024 - 13:12"|"11/06/2024 - 13:12"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Je suis très régulièrement réveillé le matin à 6h lors des décollages. Le temps très court entre les avions laisse tout juste le temps de se rendormir pour être immédiatement réveillé par le suivant.

C'est un peu usant."
"474"|"22306129"|"11/06/2024 - 13:14"|"11/06/2024 - 13:14"|"11/06/2024 - 13:14"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Légèrement"|"un homme"|"25-39"|"aussi sensible"|"La Blordière"|"Oui"|""
"475"|"22306626"|"11/06/2024 - 13:35"|"11/06/2024 - 13:35"|"11/06/2024 - 13:35"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"65-79"|"beaucoup plus sensible"|"La Houssais"|"Non"|"Nous sommes le témoin à chaque passage d’un épandage de particules fines néfastes à la santé.
Sans compter les nuisances sonores 
C’est insupportable…"
"476"|"22306661"|"11/06/2024 - 13:37"|"11/06/2024 - 13:37"|"11/06/2024 - 13:37"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"65-79"|"aussi sensible"|"La Houssais"|""|""
"477"|"22306712"|"11/06/2024 - 13:38"|"11/06/2024 - 13:38"|"11/06/2024 - 13:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|""
"478"|"22306778"|"11/06/2024 - 13:40"|"11/06/2024 - 13:40"|"11/06/2024 - 13:40"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"25-39"|"un peu plus sensible"|"La Houssais"|"Non"|"La fréquence intensive du vendredi soir et dimanche soir nous empêche de profiter du jardin. 
Le premier avion de 6h10 réveille nos enfants et nous par la même occasion."
"479"|"22307045"|"11/06/2024 - 13:51"|"11/06/2024 - 13:51"|"11/06/2024 - 13:51"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Les avions ne suivent pas le plan de gêne sonore. Beaucoup survolent notre maison rue des arts ce qui ne devrait pas être le cas. Les survols sont de plus en plus importants à tel point que nous envisageons de quitter Rezé, ne supportant plus ces nuisances."
"480"|"22307054"|"11/06/2024 - 13:52"|"11/06/2024 - 13:52"|"11/06/2024 - 13:52"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|""
"481"|"22307287"|"11/06/2024 - 14:00"|"11/06/2024 - 14:00"|"11/06/2024 - 14:00"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"55-64"|"aussi sensible"|"La Houssais"|"Oui"|"Insupportable pour profiter du jardin 😰"
"482"|"22307433"|"11/06/2024 - 14:05"|"11/06/2024 - 14:05"|"11/06/2024 - 14:05"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"55-64"|"aussi sensible"|"Ragon"|"Non"|""
"483"|"22307501"|"11/06/2024 - 14:07"|"11/06/2024 - 14:07"|"11/06/2024 - 14:07"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|""
"484"|"22307737"|"11/06/2024 - 14:15"|"11/06/2024 - 14:15"|"11/06/2024 - 14:15"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"55-64"|"un peu moins sensible"|"Rezé-Hôtel de ville"|"Oui"|""
"485"|"22307871"|"11/06/2024 - 14:19"|"11/06/2024 - 14:19"|"11/06/2024 - 14:19"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"un homme"|"25-39"|"aussi sensible"|"Pont-Rousseau"|"Oui"|"Le survol de la ville par des avions est un danger pour la santé publique.
Aucune approche par le nord ne devrait plus être autorisée , aucune manœuvre au dessus de l’agglomération ne devrait être autorisée comme c’est le cas dans ne nombreuses villes et pays, le couvre feu devrait être étendu pour permettre à minima 8h de sommeil tout en appliquant systématiquement des sanctions financières dissuasives et enfin un plafond de trafic cohérent avec la taille de l’infrastructure ainsi qu’au regard de l’emplacement de l’aéroport devrait être instauré.

À plus long terme, le sens de l’histoire n’est pas de développer un aéroport. Et la région compte de nombreux aéroports : Nantes, Rennes, Angers… plus les aéroports en Bretagne qui ont des lignes saisonnières… quel intérêt ? 
Une seule plateforme devrait pouvoir voir le jour, desservie par TGV depuis ces territoires et en dehors de toute zone urbaine "
"486"|"22307944"|"11/06/2024 - 14:22"|"11/06/2024 - 14:22"|"11/06/2024 - 14:22"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"Ragon"|"Oui"|"Le plus désagréable c’est les avions qui passent au dessus de chez nous le soir ou la nuit après 21h quand nous sommes couchés. "
"487"|"22308019"|"11/06/2024 - 14:24"|"11/06/2024 - 14:24"|"11/06/2024 - 14:24"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Légèrement"|"une femme"|"25-39"|"un peu plus sensible"|"La Blordière"|"Non"|"Nous avons l’impression que le passage des avions est de plus en plus fréquent et plus bas donc plus bruyant. Cela devient de plus en plus insupportable…"
"488"|"22308086"|"11/06/2024 - 14:26"|"11/06/2024 - 14:26"|"11/06/2024 - 14:26"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"25-39"|"aussi sensible"|"La Blordière"|"Non"|"Les plus derangeants sont ceux à partir de 6h du matin et ceux après 22h"
"489"|"22308221"|"11/06/2024 - 14:32"|"11/06/2024 - 14:32"|"11/06/2024 - 14:32"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"un homme"|"25-39"|"aussi sensible"|"La Blordière"|"Non"|""
"490"|"22308284"|"11/06/2024 - 14:33"|"11/06/2024 - 14:33"|"11/06/2024 - 14:33"|"0"|"0.0.0.0"|"0"|"Anonymous"|""|""|"un homme"|"55-64"|"un peu moins sensible"|"Trentemoult-les Isles"|"Non"|"Je suis persuadé que le bruit des avions ne serait plus un problème dès lorsque le traffic serait réduit à une affluence raisonnable... raisonnable en terme d'impact écologique (c'est-à-dire très petit, vraisemblablement)."
"491"|"22308339"|"11/06/2024 - 14:35"|"11/06/2024 - 14:35"|"11/06/2024 - 14:35"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"une femme"|"55-64"|"aussi sensible"|"La Houssais"|"Non"|"L'ai remarqué que la trajectoire des avions au décollage est fluctuante. Avant,  elle était éloignée de notre habitation,  et de plus en plus souvent nous voyons les avions passer au dessus de la maison,  d'où une nuisance sonore accrue. "
"492"|"22308597"|"11/06/2024 - 14:43"|"11/06/2024 - 14:43"|"11/06/2024 - 14:43"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"une femme"|"55-64"|"beaucoup plus sensible"|"Autre"|"Oui"|""
"493"|"22309570"|"11/06/2024 - 15:16"|"11/06/2024 - 15:16"|"11/06/2024 - 15:16"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"un homme"|"40-54"|"un peu moins sensible"|"Ragon"|"Oui"|"J'habite dans dans une zone qui est concerné uniquement par le décollage des avions.
Aussi les décollages s'effectuant par vague de 4 avions en moyenne, nous sommes donc gênées pendant 15 à 30 min.
De plus notre habitation est concerné par le décollage quand il ne pleut pas généralement donc cela nous gêne d'autant plus en journée car étant qu'il fait beau alors nous sommes dehors...."
"494"|"22310079"|"11/06/2024 - 15:33"|"11/06/2024 - 15:33"|"11/06/2024 - 15:33"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|""
"495"|"22310210"|"11/06/2024 - 15:37"|"11/06/2024 - 15:37"|"11/06/2024 - 15:37"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"65-79"|"un peu moins sensible"|"Pont-Rousseau"|"Non"|"Réveil à 6h15, couloir aérien, extrêmement variable, bruit au décollage nettement aggravée ces dernières années"
"496"|"22310853"|"11/06/2024 - 15:56"|"11/06/2024 - 15:56"|"11/06/2024 - 15:56"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"Ragon"|"Non"|"Surtout gênant à 6h du matin. "
"497"|"22310953"|"11/06/2024 - 15:59"|"11/06/2024 - 15:59"|"11/06/2024 - 15:59"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Légèrement"|"une femme"|"25-39"|"un peu plus sensible"|"Ragon"|"Oui"|""
"498"|"22310973"|"11/06/2024 - 16:00"|"11/06/2024 - 16:00"|"11/06/2024 - 16:00"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"un homme"|"40-54"|"aussi sensible"|"Château"|"Oui"|""
"499"|"22310992"|"11/06/2024 - 16:01"|"11/06/2024 - 16:01"|"11/06/2024 - 16:01"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Moyennement"|"un homme"|"40-54"|"aussi sensible"|"La Blordière"|"Non"|"Assez loin mais soumis au décollage, certains avions semblent beaucoup dépasser des couloirs prévus et Impactent alors beaucoup en nuisances "
"500"|"22311074"|"11/06/2024 - 16:03"|"11/06/2024 - 16:03"|"11/06/2024 - 16:03"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"25-39"|"aussi sensible"|"Pont-Rousseau"|"Non"|""
"501"|"22312380"|"11/06/2024 - 16:44"|"11/06/2024 - 16:44"|"11/06/2024 - 16:44"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Pas du tout"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Je remarque depuis quelques semaines que l’on entend davantage les avions décoller, cela nous empêche de discuter parfois.   ils passent + au dessus de l’école du chêne creux, avant ils décollaient + au sud, nous les entendions beaucoup moins. "
"502"|"22312526"|"11/06/2024 - 16:48"|"11/06/2024 - 16:48"|"11/06/2024 - 16:48"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"25-39"|"aussi sensible"|"La Blordière"|"Non"|"L’idéal serait une pause des avions entre 23h et 7h du matin afin de ne pas être réveillé chaque jour dès 6h15. 
Merci "
"503"|"22313227"|"11/06/2024 - 17:13"|"11/06/2024 - 17:13"|"11/06/2024 - 17:13"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"55-64"|"beaucoup plus sensible"|"Rezé-Hôtel de ville"|"Non"|"Si seulement un jour ça pouvait cesser... ou à tout le moins que le couvre feu soit étendu, et surtout respecté ! "
